id_tabela,coluna,chave,cobertura_temporal,valor
microdados,tipo_obito,1,1996(1)2019,Fetal
microdados,tipo_obito,2,1996(1)2019,Não-fetal
microdados,naturalidade,1,1996(1)2019,ABU DABI
microdados,naturalidade,2,1996(1)2019,ACORES
microdados,naturalidade,3,1996(1)2019,AFEGANISTAO
microdados,naturalidade,4,1996(1)2019,AFRICA DO SUL
microdados,naturalidade,5,1996(1)2019,AIMAN
microdados,naturalidade,6,1996(1)2019,ALBANIA
microdados,naturalidade,8,1996(1)2019,ALEMANHA
microdados,naturalidade,9,1996(1)2019,ANDORRA
microdados,naturalidade,10,1996(1)2019,ANGOLA
microdados,naturalidade,11,1996(1)2019,ANTILHAS HOLANDESAS
microdados,naturalidade,12,1996(1)2019,ANGUILLA
microdados,naturalidade,13,1996(1)2019,ANTIGUA
microdados,naturalidade,14,1996(1)2019,ARABIA SAUDITA
microdados,naturalidade,15,1996(1)2019,ARGELIA
microdados,naturalidade,16,1996(1)2019,ARGENTINA
microdados,naturalidade,17,1996(1)2019,ARMENIA
microdados,naturalidade,18,1996(1)2019,ARUBA
microdados,naturalidade,19,1996(1)2019,AUSTRALIA
microdados,naturalidade,20,1996(1)2019,AUSTRIA
microdados,naturalidade,21,1996(1)2019,AZERBAIDJAO
microdados,naturalidade,22,1996(1)2019,BAHAMAS
microdados,naturalidade,23,1996(1)2019,"BAHREIN, ILHA"
microdados,naturalidade,24,1996(1)2019,"BALEARES, ILHAS"
microdados,naturalidade,25,1996(1)2019,BANGLADESH
microdados,naturalidade,26,1996(1)2019,BARBADOS
microdados,naturalidade,27,1996(1)2019,BELGICA
microdados,naturalidade,28,1996(1)2019,BELIZE
microdados,naturalidade,29,1996(1)2019,BENIN
microdados,naturalidade,30,1996(1)2019,BERMUDAS
microdados,naturalidade,31,1996(1)2019,BIELORRUSSIA
microdados,naturalidade,32,1996(1)2019,BIRMANIA
microdados,naturalidade,33,1996(1)2019,BOLIVIA
microdados,naturalidade,34,1996(1)2019,BONAIRE
microdados,naturalidade,35,1996(1)2019,BOTSWANA
microdados,naturalidade,36,1996(1)2019,BRUNEI
microdados,naturalidade,37,1996(1)2019,BULGARIA
microdados,naturalidade,38,1996(1)2019,BURUNDI
microdados,naturalidade,39,1996(1)2019,BURKINA FASSO(ALTO VOLTA)
microdados,naturalidade,40,1996(1)2019,BUTAO
microdados,naturalidade,41,1996(1)2019,CABO VERDE
microdados,naturalidade,42,1996(1)2019,"CAICOS, ILHA"
microdados,naturalidade,43,1996(1)2019,CAMEROON
microdados,naturalidade,44,1996(1)2019,CAMBOJA
microdados,naturalidade,44,1996(1)2019,LAOS
microdados,naturalidade,45,1996(1)2019,CANADA
microdados,naturalidade,46,1996(1)2019,CANARIAS
microdados,naturalidade,47,1996(1)2019,"CAROLINAS, ILHAS"
microdados,naturalidade,48,1996(1)2019,CASAQUISTAO
microdados,naturalidade,49,1996(1)2019,"CAYMAN, ILHAS"
microdados,naturalidade,50,1996(1)2019,CEUTA E MELILLA
microdados,naturalidade,51,1996(1)2019,CHADE
microdados,naturalidade,52,1996(1)2019,CHILE
microdados,naturalidade,53,1996(1)2019,CHINA
microdados,naturalidade,54,1996(1)2019,CHIPRE
microdados,naturalidade,55,1996(1)2019,"CHRISTMAS, ILHA"
microdados,naturalidade,56,1996(1)2019,CINGAPURA
microdados,naturalidade,57,1996(1)2019,"COCOS, ILHAS"
microdados,naturalidade,58,1996(1)2019,COLOMBIA
microdados,naturalidade,59,1996(1)2019,"COMORES, ILHAS"
microdados,naturalidade,60,1996(1)2019,CONGO
microdados,naturalidade,61,1996(1)2019,"COOK, ILHAS"
microdados,naturalidade,62,1996(1)2019,COREIA DO NORTE
microdados,naturalidade,63,1996(1)2019,COREIA DO SUL
microdados,naturalidade,64,1996(1)2019,COSTA DO MARFIM
microdados,naturalidade,65,1996(1)2019,COSTA RICA
microdados,naturalidade,66,1996(1)2019,CUBA
microdados,naturalidade,67,1996(1)2019,CURACAO
microdados,naturalidade,68,1996(1)2019,DINAMARCA
microdados,naturalidade,69,1996(1)2019,DJIBUTI
microdados,naturalidade,70,1996(1)2019,DOMINICA
microdados,naturalidade,71,1996(1)2019,DUBAI
microdados,naturalidade,72,1996(1)2019,EGITO
microdados,naturalidade,73,1996(1)2019,EIRE
microdados,naturalidade,73,1996(1)2019,IRLANDA
microdados,naturalidade,74,1996(1)2019,EL SALVADOR
microdados,naturalidade,75,1996(1)2019,EQUADOR
microdados,naturalidade,76,1996(1)2019,ESCOCIA
microdados,naturalidade,77,1996(1)2019,ESPANHA
microdados,naturalidade,78,1996(1)2019,ESTADOS UNIDOS
microdados,naturalidade,79,1996(1)2019,ESTONIA
microdados,naturalidade,80,1996(1)2019,ETIOPIA
microdados,naturalidade,81,1996(1)2019,"FALKLAND, ILHAS"
microdados,naturalidade,81,1996(1)2019,"MALVINAS, ILHAS"
microdados,naturalidade,82,1996(1)2019,"FAROE, ILHAS"
microdados,naturalidade,83,1996(1)2019,FIJI
microdados,naturalidade,84,1996(1)2019,FILIPINAS
